134	1022	0.666736
281	1018	0.501751
204	1021	0.893268
289	1019	0.972633
636	1009	0.543648
266	1021	0.270057
955	999	0.172715
590	1011	0.269224
407	1017	0.533572
390	1018	0.951059
1169	993	0.64944
85	1028	0.011121
340	1020	0.53538
590	1012	0.590846
257	1023	0.811439
818	1005	0.167678
731	1008	0.0717899
871	1004	0.954248
222	1025	0.221488
257	1024	0.0194942
818	1006	0.732455
236	1025	0.0602473
758	1009	0.850172
213	1027	0.749959
617	1014	0.903885
463	1019	0.330168
557	1018	0.503125
755	1012	0.966358
657	1016	0.348942
1006	1005	0.274074
169	1032	0.62569
1008	1005	0.265619
649	1017	0.109158
588	1019	0.85434
650	1017	0.190599
846	1011	0.352717
414	1025	0.178011
1005	1006	0.249214
636	1018	0.368814
515	1022	0.423334
181	1033	0.0921326
383	1027	0.732426
585	1021	0.737809
875	1012	0.766127
1005	1008	0.982578
142	1036	0.708827
733	1017	0.215739
735	1017	0.492737
677	1019	0.859008
1266	1000	0.374795
495	1025	0.152622
744	1017	0.376556
287	1032	0.508085
486	1026	0.629641
182	1036	0.337194
199	1036	0.990807
414	1030	0.927897
575	1025	0.677263
1260	1003	0.490164
486	1028	0.978157
32	1043	0.786738
159	1039	0.347556
193	1038	0.689942
575	1026	0.0157114
29	1044	0.407019
900	1016	0.736335
1088	1010	0.446558
717	1022	0.833969
1256	1005	0.559133
1014	1013	0.816534
1015	1013	0.509112
854	1019	0.527603
175	1041	0.40575
1013	1014	0.992371
1015	1014	0.50949
495	1031	0.914059
774	1022	0.557797
529	1030	0.128591
175	1042	0.0835014
1013	1015	0.0431145
1014	1015	0.574702
163	1043	0.126413
414	1035	0.0911224
1101	1013	0.7813
239	1041	0.833505
116	1045	0.150559
185	1043	0.617622
1159	1013	0.13743
107	1047	0.531263
1101	1015	0.583642
507	1035	0.483307
212	1045	0.0207891
404	1039	0.693389
1159	1015	0.20114
1021	1020	0.19278
1022	1020	0.323779
1053	1019	0.666272
1057	1019	0.590418
1060	1019	0.142538
1061	1019	0.156375
202	1047	0.29992
1020	1021	0.592145
91	1051	0.801344
30	1053	0.800012
1087	1019	0.347461
37	1053	0.222873
336	1044	0.880651
926	1025	0.827228
1020	1022	0.51216
153	1050	0.461377
588	1036	0.547135
344	1044	0.280062
347	1044	0.472614
1123	1019	0.677886
1144	1019	0.36283
1145	1019	0.801644
1146	1019	0.6705
1184	1018	0.125521
134	1052	0.633287
213	1050	0.609762
1	0	0.455927
1027	1024	0.318004
6	0	0.0340333
10	0	0.573388
262	1049	0.472717
576	1039	0.169915
237	1050	0.746543
24	0	0.858678
2	1	0.426539
3	1	0.794488
4	1	0.613775
5	1	0.63062
6	1	0.112232
503	1042	0.655195
7	1	0.295092
8	1	0.375634
9	1	0.432977
10	1	0.0715481
11	1	0.510302
12	1	0.908346
13	1	0.813476
14	1	0.877439
15	1	0.743881
16	1	0.494962
17	1	0.244062
18	1	0.838737
19	1	0.606688
20	1	0.48088
21	1	0.918296
22	1	0.914073
23	1	0.538491
181	1053	0.713392
1	2	0.201234
3	2	0.561152
9	2	0.189065
13	2	0.211696
1038	1026	0.0189313
202	1053	0.691524
26	2	0.0240766
27	2	0.936044
28	2	0.741161
90	0	0.138111
30	2	0.769523
1024	1027	0.220275
1	3	0.538413
33	2	0.67485
2	3	0.941603
96	0	0.544215
36	2	0.00436909
37	2	0.900365
535	1043	0.326291
8	3	0.165224
101	0	0.1979
9	3	0.181026
49	2	0.871207
